id,title,artist,album,img,rtime
1eEX2HigE7rmIT7bwVBqtj,Don't Trip,Zacari,Run Wild Run Free,https://i.scdn.co/image/ab67616d00001e02c56e6cfbd580fa696c6ad1f6,171280
0gPQTLaqHDgdupKEok7J2x,7 Days,Craig David,Born to Do It,https://i.scdn.co/image/ab67616d00001e027c2e92fb2302f8e8fcd9b389,235133
0a4x22Cu8ix2C0ylPLl7A7,NWA (feat. Lil Durk),"Lucky Daye, Lil Durk",NWA (feat. Lil Durk),https://i.scdn.co/image/ab67616d00001e0249d06c5128177094fc12aa13,231570
0NYEdeOOdXN6Nw2AeKecSJ,Back of My Mind (feat. Ty Dolla $ign),"H.E.R., Ty Dolla $ign",Back of My Mind,https://i.scdn.co/image/ab67616d00001e02f214cabc279e33a7f0140391,221133
360NCp4XoQ0sFi5jgu5Ww7,Insecure,"Jazmine Sullivan, Bryson Tiller",Insecure,https://i.scdn.co/image/ab67616d00001e02d5ca61988f91d7f12ca71bc0,218072
2VSnwBXZLxPJoAHyDRyxrW,Night Calls,Yo Trane,Night Calls,https://i.scdn.co/image/ab67616d00001e02594b1120a76485dde7ba24b8,215316
0sHyVWNc3nfxAYOTOwOlPx,Balance,Wizkid,"More Love, Less Ego",https://i.scdn.co/image/ab67616d00001e02e944c571fca9ea470ebb5821,181840
01JPQ87UHeGysPVwTqMJHK,She Don't (feat. Ty Dolla $Ign),"Ella Mai, Ty Dolla $ign",Time,https://i.scdn.co/image/ab67616d00001e0240aba43042f328ad560b4be4,264097
6IaieqiCVvsNvEt6Y7yOFa,Ball For Me (feat. Nicki Minaj),"Post Malone, Nicki Minaj",beerbongs & bentleys,https://i.scdn.co/image/ab67616d00001e02b1c4b76e23414c9f20242268,206266
20jLHaXVhMFjwHs1JPjL4S,more than i should (feat. jessie reyez),"Kehlani, Jessie Reyez",blue water road,https://i.scdn.co/image/ab67616d00001e02ec32beffe58d9335b1975cb1,200639
4s1HdR4GZb9OQtfTq1avcq,Creep On Me (feat. French Montana & DJ Snake),"GASHI, French Montana, DJ Snake",GASHI,https://i.scdn.co/image/ab67616d00001e022b995bd89d3405e84c408bda,194777
4VY32hdU4byJ6cpEBAXRul,Outside,Bryson Tiller,Outside,https://i.scdn.co/image/ab67616d00001e02b0141981cfa199a11281dfd4,188579
1DJsyU4yU3cnONCun42snt,You Ain't Worth It,"Melii, 6LACK",You Ain't Worth It,https://i.scdn.co/image/ab67616d00001e027134d4f6ce30f1e8c7c86a93,183077
4HDCLYli2SUdkq9OjmvhSD,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",PARTYMOBILE,https://i.scdn.co/image/ab67616d00001e02d8082097058d4c44739b17dd,183219
2IlT65thKQQw248mhk2PjQ,JACKIE BROWN,Brent Faiyaz,WASTELAND,https://i.scdn.co/image/ab67616d00001e0269f63a842ea91ca7c522593a,169013
439zbDDCpOPntEFlZFHKbY,Right Track (feat. Smino),"Syd, Smino",Right Track (feat. Smino),https://i.scdn.co/image/ab67616d00001e0209dd94557c994dc8471d6eb6,158271
4E3XDKil4ElJt6sXuz5cc6,BURN,"Kanye West, Ty Dolla $ign",VULTURES 1,https://i.scdn.co/image/ab67616d00001e025f4d67e6c3d62045e72d3775,111458
4qiBiP5cXKG6JZD1sW28u5,Do It Right,Don Toliver,Love Sick,https://i.scdn.co/image/ab67616d00001e02feeff698e6090e6b02f21ec0,174474
0dDI9Y0qEQspYedfdi1vau,Tyrone 2021 (feat. Big Sean),"Ty Dolla $ign, Big Sean",Featuring Ty Dolla $ign,https://i.scdn.co/image/ab67616d00001e029b6cff14d6cdf4b6a2be3a4f,158026
1qMnyfVxKKlAxYrFPYTuph,Mixy (feat. Summer Walker),"Quavo, Takeoff, Summer Walker",Only Built For Infinity Links,https://i.scdn.co/image/ab67616d00001e02ffe5b62233340cb6d453fc2f,270198
4nFrcGM7MY1mpoQCC7Kefj,Me & U,Tems,Me & U,https://i.scdn.co/image/ab67616d00001e024dfcb8700811f123ed8eca16,192935
5YbPxJwPfrj7uswNwoF1pJ,Last Last,Burna Boy,"Love, Damini",https://i.scdn.co/image/ab67616d00001e0212ebde47882280b814275600,172342
2LLFl56eIFGFlnrplUC26f,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,Summer Sampler,https://i.scdn.co/image/ab67616d00001e0269c3b977ea8d7f6861a35fda,176674
6FXsrAH7Zol1jusSeJIoYA,"Body Language (feat. Ty Dolla $ign, and Jhené Aiko)","Big Sean, Ty Dolla $ign, Jhené Aiko",Detroit 2,https://i.scdn.co/image/ab67616d00001e02b1b3fdd23be4c158d4d2c32f,224770
36DGvM1cGXimKtQ3rSi03a,Paper Route,"Blxst, 2 Chainz",I'll Always Come Find You,https://i.scdn.co/image/ab67616d00001e02ec71ab9f80af7052862f7b34,190826
6GPXq76JUWrOvlt2MHqzai,Too Many Friday Nights,"Blxst, Fatman Scoop",I'll Always Come Find You,https://i.scdn.co/image/ab67616d00001e02ec71ab9f80af7052862f7b34,174413
3sNVsP50132BTNlImLx70i,Bound 2,Kanye West,Yeezus,https://i.scdn.co/image/ab67616d00001e021dacfbc31cc873d132958af9,229146
2rbSlNYTYboHHWelF0xSAQ,Still,Kenny Beats,LOUIE,https://i.scdn.co/image/ab67616d00001e025c2bbb4d4a66a70310705a26,162240
5TxRUOsGeWeRl3xOML59Ai,ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,https://i.scdn.co/image/ab67616d00001e027005885df706891a3c182a57,265480
0Gt4nGWoATcQFL38a1NRao,West Savannah (feat. SZA),"Isaiah Rashad, SZA",Cilvia Demo,https://i.scdn.co/image/ab67616d00001e02986cd6b330f7405b17a604f4,167276
1jhdCONafFj1hzJsPvZx27,WHEN SPARKS FLY,Vince Staples,RAMONA PARK BROKE MY HEART,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,227873
5B0kgjHULYJhAQkK5XsMoC,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",CALL ME IF YOU GET LOST,https://i.scdn.co/image/ab67616d00001e02696b4e67423edd64784bfbb4,121572
3GKL13lkM5nRc4zC1lIOrR,Still Not a Player (feat. Joe) - Radio Version,"Big Pun, Joe",Capital Punishment,https://i.scdn.co/image/ab67616d00001e028c7a8e68dc5c20bb72f713f2,236800
7yoe9vbbzakNAXwb1UaWLS,Same Time Pt. 1,"Big Sean, TWENTY88",I Decided.,https://i.scdn.co/image/ab67616d00001e02e572359074e5da958a922987,89866
1rJUbH0v2E8t1GY4OAUTeC,City Girls,"Chris Brown, Young Thug",Slime & B,https://i.scdn.co/image/ab67616d00001e0263e0ddbb488d0eeec0e738fc,230253
3rsOs39rDAYxIOrDTHAgR9,Play No Games,"Big Sean, Chris Brown, Ty Dolla $ign",Dark Sky Paradise,https://i.scdn.co/image/ab67616d00001e0250192d5f728fea13fb3af203,216653
4Z2hR3qjHR4r7dwt7dKd1s,Pinot Noir,"IDK, Jucee Froot, Saucy Santana",F65,https://i.scdn.co/image/ab67616d00001e02be3e0e5cdda8092c351f6ac6,175834
0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),"SZA, Travis Scott",Ctrl,https://i.scdn.co/image/ab67616d00001e024c79d5ec52a6d0302f3add25,275080
3zdsJOO5FIAgukJUMgboV8,"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)","Terrace Martin, James Fauntleroy, Ty Dolla $ign, Kendrick Lamar, Snoop Dogg",DRONES,https://i.scdn.co/image/ab67616d00001e0248b8a1744d1166c4e48b2cfb,265357
0dWOFwdXrbBUYqD9DLsoyK,BLEACH,BROCKHAMPTON,SATURATION III,https://i.scdn.co/image/ab67616d00001e02ef51817e6a6563b6f7ce5872,273151
5hVnFTUmD5oa7Pl4ltn6KE,Not For Nothing (feat. Anderson .Paak),"Rick Ross, Anderson .Paak",Richer Than I Ever Been (Deluxe),https://i.scdn.co/image/ab67616d00001e0223c1a5825c12fcbb44cbe524,236799
3XgGQ1wjo5khvq2UImjyNF,ALL MINE,Brent Faiyaz,WASTELAND,https://i.scdn.co/image/ab67616d00001e0269f63a842ea91ca7c522593a,216062
7ketv9r8Hm9lBpQdDekCXI,OPEN LETTER (feat. Teezo Touchdown),"MIA GLADSTONE, Teezo Touchdown",OPEN LETTER (feat. Teezo Touchdown),https://i.scdn.co/image/ab67616d00001e02eaf13f301d87f06682a24728,246935
2sFEmuVVAa2klHwhFaT0rR,"BOYFRIEND, GIRLFRIEND (2020 Demo) (feat. YG)","Tyler, The Creator, YG",CALL ME IF YOU GET LOST: The Estate Sale,https://i.scdn.co/image/ab67616d00001e02aa95a399fd30fbb4f6f59fca,204364
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",DAMN.,https://i.scdn.co/image/ab67616d00001e028b52c6b9bc4e43d873869699,213400
4S7YHmlWwfwArgd8LfSPud,L$D,A$AP Rocky,AT.LONG.LAST.A$AP,https://i.scdn.co/image/ab67616d00001e0281a6a2cafab2e7a4066b5eec,238306
03hqMhmCZiNKMSPmVabPLP,Groupie Love (feat. A$AP Rocky),"Lana Del Rey, A$AP Rocky",Lust For Life,https://i.scdn.co/image/ab67616d00001e0295e2fd1accb339fa14878190,264037
7umZiitjVsEjMQ6HNddpUI,Love Is Only a Feeling,Joey Bada$$,Love Is Only a Feeling,https://i.scdn.co/image/ab67616d00001e02b142bbe4a766121f8d6fad41,152041
2XILilAwcXHdGwZLNHteue,"Love, of Money",MAVI,Let the Sun Talk,https://i.scdn.co/image/ab67616d00001e02655aaf07642a3042adb4ae89,64765
0t2myRMEMCi2SRyg5TEFLp,Love$ick,"Mura Masa, A$AP Rocky",Love$ick,https://i.scdn.co/image/ab67616d00001e0233298f00975dcbaab9af3b51,192154
0B0jhczWfIdjY0p4KY1ArL,Another You (feat. Kanye West),"The WRLDFMS Tony Williams, Kanye West",The 7th Day,https://i.scdn.co/image/ab67616d00001e02ca0517e383b4533f835a235a,262986
2cHEJfLPCYxeq2YpGO5ys3,Hole Heart,Genesis Owusu,Hole Heart,https://i.scdn.co/image/ab67616d00001e02b9794d4510e5644db0f0de71,196093
1m8WpLYXEiNVZchsWEcCSy,Come Through and Chill (feat. J. Cole & Salaam Remi),"Miguel, J. Cole, Salaam Remi",War & Leisure,https://i.scdn.co/image/ab67616d00001e02f654e8e9ac3c24881239ab7c,322000
300DUx4tdtCdGEUXR032jA,"Palace/Curse (feat. Tyler, The Creator & Steve Lacy)","The Internet, Tyler, The Creator, Steve Lacy",Ego Death,https://i.scdn.co/image/ab67616d00001e021c1c33c63cdbcb5788975a93,440013
6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",Pretty Girls Like Trap Music,https://i.scdn.co/image/ab67616d00001e02c0c05243a846dda6c84607f9,210200
6OquGsVTLqZHyxqG0PLwFz,"PiLOT (feat. Snoop Dogg, Busta Rhymes, Anderson .Paak)","DOMi & JD BECK, Anderson .Paak, Busta Rhymes, Snoop Dogg",NOT TiGHT,https://i.scdn.co/image/ab67616d00001e028569040f689c3249eeb04345,202451
111ixdtGqBX2riiqg8m8Xx,Disco Pantz,"Rejjie Snow, Tinashe, grouptherapy.",Baw Baw Black Sheep,https://i.scdn.co/image/ab67616d00001e024c7d79a229ee09aa173b4723,173666
5ugcpEprRXs0HnZ1iMFXed,Luckily I’m Having (feat. Teezo Touchdown),"Don Toliver, Teezo Touchdown",Love Sick (Deluxe),https://i.scdn.co/image/ab67616d00001e02f5e27c2aa0b110c2b6611577,194453
270aLuFCbX32hhBr8MQyPM,Love U Better (feat. Lil Wayne & The-Dream),"Ty Dolla $ign, Nathaniel Alford, Twice As Nice, Lil Wayne, The-Dream",Beach House 3,https://i.scdn.co/image/ab67616d00001e0256f796c9039f52e90d015b4d,181880
50a8bKqlwDEqeiEknrzkTO,ball w/o you,21 Savage,i am > i was,https://i.scdn.co/image/ab67616d00001e02280689ecc5e4b2038bb5e4bd,195046
4brX8MJs5hxErgq48f9REO,Stay,Mac Miller,The Divine Feminine,https://i.scdn.co/image/ab67616d00001e022e92f776279eaf45d14a33fd,326426
3VRH0UqoAYXLj1WTqpuwHi,Bound,"Ryan Trey, Mudi",august,https://i.scdn.co/image/ab67616d00001e020857bee8a830829401a4af38,198000
0H57lJQoHSzP4nE7EvTJPP,Have You Seen That Girl?,GoldLink,At What Cost,https://i.scdn.co/image/ab67616d00001e027bcd3cd54e8399ae38cc6e64,162277
3DCivYhjJMchrSQtoVzzWb,A Bitch Curious (feat. Sam Truth),"AG Club, Sam Truth",Fuck Your Expectations PT. 1,https://i.scdn.co/image/ab67616d00001e028a3c2e6e5a799caab8bc4e46,244871
0ZEFUsb2AVGup8SV3y3yXl,Nirvana,"Skepta, J Balvin",Nirvana,https://i.scdn.co/image/ab67616d00001e02629f0ae002c430f0d73c8ff3,198496
63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster,The Notorious B.I.G.,Greatest Hits,https://i.scdn.co/image/ab67616d00001e02639fea4197e676cfe9512e04,249866
0ycIrEpkyb4lrqE7M1emju,Inhale,Bryson Tiller,A N N I V E R S A R Y,https://i.scdn.co/image/ab67616d00001e02008d8077814ce15da0085b47,171173
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,https://i.scdn.co/image/ab67616d00001e0277ada0863603903f57b34369,160000
5VkuqayHiiU5ZHyYEH4Oeb,Dear Summer,"Memphis Bleek, JAY-Z",534,https://i.scdn.co/image/ab67616d00001e028015e92cc0f118abac720d55,173200
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,"Kanye West, Dwele",Graduation,https://i.scdn.co/image/ab67616d00001e0226f7f19c7f0381e56156c94a,237506
4HSAJpNocVNJbwbQvtCMdO,Signs,"Snoop Dogg, Charlie Wilson, Justin Timberlake",R&G (Rhythm & Gangsta): The Masterpiece,https://i.scdn.co/image/ab67616d00001e02e803716268c173c3f9a0c057,236480
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,"Kanye West, Syleena Johnson",The College Dropout,https://i.scdn.co/image/ab67616d00001e0225b055377757b3cdd6f26b78,223506
3mvYQKm8h6M5K5h0nVPY9S,After Dark (feat. Static Major & Ty Dolla $ign),"Drake, Static Major, Ty Dolla $ign",Scorpion,https://i.scdn.co/image/ab67616d00001e02f907de96b9a4fbc04accc0d5,289560
3thNB1fmi1wuhJ1vWCRuNz,Redemption (feat. SZA),"Jay Rock, SZA",Redemption,https://i.scdn.co/image/ab67616d00001e02c30d59775ce5ef3f59138f59,211613
0NjW4SKY3gbfl2orl1p8hr,IFHY (feat. Pharrell),"Tyler, The Creator, Pharrell Williams",Wolf,https://i.scdn.co/image/ab67616d00001e0222007a4aa8a55fe7b1de5632,319253
45wneA2j0Z0WMnYNDO6Ad0,Back & Forth,Aaliyah,Age Ain't Nothing But A Number,https://i.scdn.co/image/ab67616d00001e0271aaf1ce904c974ed4efc0c8,231093
1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,Miguel,All I Want Is You,https://i.scdn.co/image/ab67616d00001e02d5a8395b0d80b8c48a5d851c,102813
4HG1YiGBseVKzjyKcmAJen,Summer Games,Drake,Scorpion,https://i.scdn.co/image/ab67616d00001e02f907de96b9a4fbc04accc0d5,247893
2ZWlPOoWh0626oTaHrnl2a,Ivy,Frank Ocean,Blonde,https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526,249191
2FOX5q9f1ZZHyePbdkt5WT,Beyond Love,Beach House,Depression Cherry,https://i.scdn.co/image/ab67616d00001e0202859310b61e59756abb90ad,265186
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,Sundress,https://i.scdn.co/image/ab67616d00001e021ae967e4a02c7a39eb3c189b,158205
22MPIMPsoi0vd46wsbpzfE,Jesus Freak Lighter,Blood Orange,Jesus Freak Lighter,https://i.scdn.co/image/ab67616d00001e024d5caf410f05c73301e83a63,152380
0smgkpVia3VCXgY4qhVJvp,Guilty Conscience,070 Shake,Modus Vivendi,https://i.scdn.co/image/ab67616d00001e0220921767dd81e8f90ef9fc71,213333
3nAq2hCr1oWsIU54tS98pL,Waves,Kanye West,The Life Of Pablo,https://i.scdn.co/image/ab67616d00001e022a7db835b912dc5014bd37f4,181573
5QvBXUm5MglLJ3iBfTX2Wo,RUNNING OUT OF TIME,"Tyler, The Creator",IGOR,https://i.scdn.co/image/ab67616d00001e027005885df706891a3c182a57,177226
2LtCEKs68u3RpNh4wybCF8,Hotel,Montell Fish,Her Love Still Haunts Me Like a Ghost,https://i.scdn.co/image/ab67616d00001e02f46e995aa84c6eb1080100a4,197333
2vtmY2mSccRzKGjtcHSzI3,Diet Mountain Dew,Lana Del Rey,Born To Die - The Paradise Edition,https://i.scdn.co/image/ab67616d00001e02ebc8cfac8b586bc475b04918,222920
1AtFSBJibfaqfiOByQCwZ5,Small girl (feat. 도경수(D.O.)),"이영지, 도경수",16 Fantasy,https://i.scdn.co/image/ab67616d00001e02aa8e7da62fbfae5cb65f8e55,189706
351KkakA2YtGEXqSEIIasy,Supernova,aespa,Supernova,https://i.scdn.co/image/ab67616d00001e02d2ab7b4a8d0adf91b2167543,178880
3pDGJRDN3p6kCNZcD97FYY,Cosmic,Red Velvet,Cosmic,https://i.scdn.co/image/ab67616d00001e02a54b93bff4827437f56b7896,225864
7yRW1NpgQzFDQbkHat2lxQ,ABCD,나연,NA,https://i.scdn.co/image/ab67616d00001e02159a01a07fe294d4a44a59dd,162840
5eWcGfUCrVFMoYskyfkEPE,Armageddon,aespa,Armageddon - The 1st Album,https://i.scdn.co/image/ab67616d00001e020fc598038040859794c600e2,196466
2nRMW95dnOILirpjbksLTs,Never Let Go,정국,Never Let Go,https://i.scdn.co/image/ab67616d00001e02083f5a45d93b57cb65a97b83,166812
5juCu4WFTFRZ2XilopAMTy,밤양갱,비비,밤양갱,https://i.scdn.co/image/ab67616d00001e02c5543b3cce74f3edafcc8f59,146197
5XWlyfo0kZ8LF7VSyfS4Ew,Drama,aespa,Drama - The 4th Mini Album,https://i.scdn.co/image/ab67616d00001e02c54e39f2ae0dd10731f93c08,214973
